City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
117,Bilma,NE,75.36,clear sky,18.6853,12.9164,Expeditions Ténére voyages
119,Huaihua,CN,68.22,clear sky,27.5494,109.9592,怀化天庆大酒店
121,Yulara,AU,64.24,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
124,Sistranda,NO,54.9,light rain,63.7256,8.834,Hotell Frøya
125,Collie,AU,71.53,clear sky,-33.3667,116.15,Collie Ridge
127,Mount Gambier,AU,57.22,broken clouds,-37.8333,140.7667,The Commodore
129,Yanam,IN,82.8,moderate rain,16.7333,82.2167,The Regency Hotel
130,Olutanga,PH,83.73,broken clouds,7.3106,122.8464,Morales Lodge
131,Olinda,BR,78.53,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
132,Bluff,NZ,62.94,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
134,Vero Beach,US,73.44,overcast clouds,27.6386,-80.3973,Kimpton Vero Beach Hotel & Spa
135,Fasa,IR,54.64,clear sky,28.9383,53.6482,Fasa University Boys' Dormitory
138,San Vicente,AR,62.01,scattered clouds,-26.6167,-54.1333,Complejo Turístico Farelluk
139,Mabaruma,GY,73.29,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
142,Jefferson City,US,51.89,overcast clouds,38.5767,-92.1735,DoubleTree by Hilton Hotel Jefferson City
143,Rocha,UY,61.45,scattered clouds,-34.4833,-54.3333,Beleza Pura B&B
144,Qitaihe,CN,51.66,overcast clouds,45.8,130.85,Baiyun Hostel
145,Mahebourg,MU,74.25,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
148,Dickinson,US,64.51,clear sky,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
150,Adrar,MR,75.02,overcast clouds,20.5022,-10.0711,
152,Hithadhoo,MV,83.95,overcast clouds,-0.6,73.0833,Scoop Guest House
153,Saint-Joseph,RE,75.56,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
154,New Norfolk,AU,58.91,broken clouds,-42.7826,147.0587,The Shingles Riverside Cottages
155,Buraydah,SA,68.45,clear sky,26.326,43.975,فندق راحة السلام
157,Saint-Pierre,RE,76.64,scattered clouds,-21.3393,55.4781,Lindsey Hôtel
160,Seoul,KR,65.16,clear sky,37.5683,126.9778,Lotte Hotel Seoul
161,Carnarvon,AU,77.07,clear sky,-24.8667,113.6333,Hospitality Carnarvon
162,Ixtapa,MX,75.65,scattered clouds,20.7,-105.2,Hotel Plaza Providencia
165,Linhares,BR,70.05,broken clouds,-19.3911,-40.0722,Hotel Conceição
166,Shibetsu,JP,54.3,few clouds,43.659,145.132,Hotel Kawabata Shibetsu
167,Riberalta,BO,76.82,few clouds,-10.9833,-66.1,Hotel Colonial
168,Charlestown,AU,69.93,overcast clouds,-32.95,151.6667,Panorama Motor Inn Hotel
169,Pimentel,PE,62.91,overcast clouds,-6.8367,-79.9342,Casona Del Muelle
170,Geraldton,AU,79.21,clear sky,-28.7667,114.6,Broadwater Mariner Resort
171,Sao Joao Da Barra,BR,69.87,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
174,Abu Zabad,SD,77.38,scattered clouds,12.35,29.25,حامد محمد نور
175,Del Rio,US,63.43,clear sky,29.3627,-100.8968,"Holiday Inn Express & Suites del Rio, an IHG Hotel"
176,Cidreira,BR,68.13,overcast clouds,-30.1811,-50.2056,Hotel Castelo
178,Dhrangadhra,IN,80.92,overcast clouds,22.9833,71.4667,Rutu raj garden
180,Ihosy,MG,60.67,scattered clouds,-22.4,46.1167,Tamana Hôtel
182,Sao Filipe,CV,78.22,overcast clouds,14.8961,-24.4956,Hotel Xaguate
183,Bari Sadri,IN,70.14,broken clouds,24.4167,74.4667,Durga Auto and vishvkarma service badisadri rajasthan
185,Yaan,NG,73.9,overcast clouds,7.3833,8.5667,
188,Santa Barbara,US,62.35,clear sky,34.7333,-120.0343,Upper Ballard Campground
189,Kaeo,NZ,66.33,overcast clouds,-35.1,173.7833,Bushido Lodge
190,Ahipara,NZ,60.55,light rain,-35.1667,173.1667,Ahipara Holiday Park
194,Abha,SA,55.65,clear sky,18.2164,42.5053,Abha Hotel
195,Mohpa,IN,76.35,broken clouds,21.3167,78.8167,Arvind Waghmare
196,Turayf,SA,62.85,clear sky,31.6725,38.6637,Turaif
